N,P,K,temperature,humidity,ph,rainfall,label
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
20,7,46,17.938346559346375,91.56609751852993,5.94392410930588,112.44722650022088,pomegranate
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,grapes
98,27,27,24.71384065,51.29142534,7.238109556,197.6439711,coffee
33,30,34,30.052549088184982,48.393813209881216,5.497353025644636,90.56760745990672,mango
28,57,24,19.386917578617066,18.165636105986874,5.701280292901233,142.77796010285104,kidneybeans
129,46,20,24.192766758043632,81.0977081008838,6.478786398630883,99.02754581306307,cotton
92,39,38,25.639266603278244,81.55650228158733,6.790741179955321,189.42123082301492,jute
99,74,50,26.759169547558283,80.35360774038917,6.11144766631875,107.77379406860265,banana
36,30,34,27.630051868750456,54.04182463348018,6.748918186799448,102.22987053951636,mango
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
36,11,36,24.697377340373755,83.80922446758744,6.762050808800901,106.3538760322171,pomegranate
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,mango
97,29,30,26.535069097297963,61.623438255700314,5.826122913919856,194.46075485807324,coffee
84,22,47,27.235286031295896,87.2115999687131,6.777335683291817,55.778662982452374,watermelon
14,47,21,28.831356655988703,85.20774796439358,6.861947646465875,53.79477137267026,mungbean
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,blackgram
7,16,9,19.224943136307882,92.34558868803235,7.697496794119068,114.90750014182976,orange
33,134,205,21.0365275,94.33919546,6.08551916,114.7412734,apple
39,43,20,29.67076031126064,60.997753899281086,7.987108546207128,40.82418111887838,mothbeans
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans
53,63,73,20.096451346181787,16.684992043776084,8.893151382476205,78.6702898636757,chickpea
42,75,82,19.708597766251394,13.947193298825715,7.567663613889579,65.28948117396952,chickpea
0,29,32,28.05912437,98.3670985,5.868255858,171.65163959999995,coconut
29,17,30,32.03086411523283,53.503372723257684,6.673029422808921,93.02826338936009,mango
